0.312243	0.58034	0	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	0	0
0.680375	0.601438	5.66596	5.07125e-18	-5.44226e-18	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	0	117.196
1.14475	0.505139	5.6754	-0.117127	-0.0096081	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.481637	0
1.27683	0.531742	5.66101	0.0635923	0.0180438	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	0	1.82532
1.59315	0.578483	5.67106	0.105185	0.0296877	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.428738	0
1.83682	0.567461	5.55582	0.0486434	-0.0149206	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	0	0.80917
2.13598	0.599806	5.56551	0.0647026	0.00648454	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.329731	0
2.3535	0.644383	5.35623	0.101731	-0.000190911	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	0	3.12066
2.62695	0.669946	5.36598	0.0975341	-0.0111591	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.0475232	0
2.89548	0.664038	5.35937	0.0563796	-0.140077	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0	0.215541
3.13099	0.668126	5.32856	0.0456236	-0.155025	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	0.84224	0
3.41913	0.569264	5.3681	-0.0949184	-0.547924	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	0	2.22193
3.72415	0.466815	5.42816	-0.211	-0.791401	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	3.15349	0
4.00271	0.540399	5.4366	-0.0958218	-0.368178	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	0	3.30226
4.27762	0.532892	5.4369	-0.0944535	-0.320232	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.188725	0
4.53866	0.564882	5.39284	-0.0605516	-0.21392	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	0	1.40712
4.73122	0.668929	5.2732	0.0364184	0.00741907	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	11.2833	0
4.98547	0.664048	5.23243	0.0221258	-0.0232224	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	0	2.16577
5.28848	0.659401	5.28196	0.0112783	-0.0400548	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	2.80641	0
5.54628	0.666988	5.28966	0.014786	-0.0293138	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	0	1.52954
5.84124	0.681363	5.32326	0.019803	-0.0178116	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	1.75058	0
6.08739	0.605264	5.2825	-0.0379549	-0.11241	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	0	4.07524
6.34581	0.718329	5.26747	0.0370002	0.0135557	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	3.6314	0
